lambda,epoch,train_loss,classification_loss,sparsity_loss,gate_grad_norm_last_batch,test_accuracy,sparsity_pct,mean_gate,median_gate,min_gate,max_gate,gate_q01,gate_q05,gate_q25,gate_q75,gate_q95,gate_q99
0.0,11,0.6960372722057431,0.6960372722057431,3614995.334398977,0.007801066618412733,54.87,0.0,0.9503051042556763,0.950816810131073,0.9198773503303528,0.9713179469108582,0.9386981725692749,0.9423965215682983,0.9474973678588867,0.9531114101409912,0.9571110010147095,0.9600134491920471
0.0,12,0.6378994977382748,0.6378994977382748,3614305.382352941,0.009322017431259155,54.95,0.0,0.9501292109489441,0.9507094025611877,0.9168877601623535,0.9721111059188843,0.9376460909843445,0.9416463971138,0.9471572637557983,0.9531384706497192,0.957309901714325,0.9603031873703003
0.0,13,0.5848685993105555,0.5848685993105555,3613644.14258312,0.00947227980941534,54.38,0.0,0.9499561786651611,0.9506083130836487,0.9149748086929321,0.9724568128585815,0.9366236329078674,0.9409123659133911,0.946826696395874,0.953161358833313,0.9574958682060242,0.9605828523635864
0.0,14,0.5496679473563534,0.5496679473563534,3612988.4303069054,0.011754494160413742,53.63,0.0,0.949784517288208,0.9505119323730469,0.9122859239578247,0.9727208018302917,0.9355770945549011,0.9401842951774597,0.9465044736862183,0.9531844854354858,0.9576690793037415,0.9608315229415894
0.0,15,0.4974466002048434,0.4974466002048434,3612354.750639386,0.009440077468752861,53.82,0.0,0.9496272802352905,0.9504227638244629,0.9079828262329102,0.9731301665306091,0.9346305131912231,0.9395155310630798,0.9462093710899353,0.9532032012939453,0.9578235149383545,0.9610729217529297
0.0,16,0.45757875296161,0.45757875296161,3611768.1547314576,0.014657172374427319,54.32,0.0,0.949474573135376,0.9503418803215027,0.905369222164154,0.9735612869262695,0.9336997866630554,0.9388664960861206,0.9459191560745239,0.953223705291748,0.957975447177887,0.9612891674041748
0.0,17,0.43346933025838164,0.43346933025838164,3611181.165601023,0.013272535987198353,53.04,0.0,0.9493187665939331,0.9502538442611694,0.9039424657821655,0.9735726714134216,0.9327536821365356,0.9382137656211853,0.9456322193145752,0.9532410502433777,0.95811527967453,0.9614966511726379
0.0,18,0.4039119374569115,0.4039119374569115,3610598.315217391,0.01617570035159588,53.74,0.0,0.9491698741912842,0.9501754641532898,0.9011280536651611,0.9739015102386475,0.9318475127220154,0.9375808238983154,0.9453587532043457,0.9532554745674133,0.9582480788230896,0.961693525314331
0.0,19,0.371857580207193,0.371857580207193,3610039.8062659847,0.012839438393712044,53.68,0.0,0.949023962020874,0.9500952959060669,0.898829996585846,0.9746001958847046,0.9309564232826233,0.9369603991508484,0.9450900554656982,0.9532769322395325,0.958381175994873,0.9618867635726929
0.0,20,0.3642923379950511,0.3642923379950511,3609481.4910485935,0.019696883857250214,53.73,0.0,0.9488758444786072,0.950019121170044,0.8965608477592468,0.9750676155090332,0.93003910779953,0.9363351464271545,0.944821298122406,0.9532889127731323,0.9585051536560059,0.9620701670646667
0.0,21,0.3355534457032333,0.3355534457032333,3608931.237212276,0.01387385930866003,54.83,0.0,0.9487366676330566,0.9499506950378418,0.8952915668487549,0.9762712717056274,0.9291855692863464,0.9357457756996155,0.9445668458938599,0.953305721282959,0.958624541759491,0.9622417688369751
0.0,22,0.31826098815864307,0.31826098815864307,3608408.997442455,0.012897462584078312,53.83,0.0,0.948599636554718,0.9498838782310486,0.8932775855064392,0.9768873453140259,0.9283296465873718,0.9351613521575928,0.9443173408508301,0.9533185958862305,0.9587362408638,0.9624103307723999
