lambda,epoch,train_loss,classification_loss,sparsity_loss,gate_grad_norm_last_batch,test_accuracy,sparsity_pct,mean_gate,median_gate,min_gate,max_gate,gate_q01,gate_q05,gate_q25,gate_q75,gate_q95,gate_q99
1e-05,11,12.435279419355075,0.5409653728727795,1189431.4351023019,0.019105374813079834,55.7,0.0,0.2967289686203003,0.2161523401737213,0.13619935512542725,0.9632819294929504,0.137193500995636,0.13933899998664856,0.159843310713768,0.360599160194397,0.759947657585144,0.9221450686454773
1e-05,12,11.231642937721194,0.465443043605141,1076620.015185422,0.02610171027481556,55.76,0.0,0.27025240659713745,0.18721920251846313,0.10897935181856155,0.9638141989707947,0.10976975411176682,0.111576609313488,0.13165414333343506,0.3322277069091797,0.7466350197792053,0.9203376770019531
1e-05,13,10.255391267254529,0.3973558310352628,985803.5682544757,0.0331248864531517,55.68,0.0,0.24874410033226013,0.1640058308839798,0.08795998245477676,0.9653283953666687,0.08869516104459763,0.09019873291254044,0.10971112549304962,0.30809876322746277,0.7342455387115479,0.9185754060745239
1e-05,14,9.455690613183219,0.34165347072169605,911403.7372122762,0.032614149153232574,56.07,0.0,0.23096930980682373,0.14506793022155762,0.07166804373264313,0.965606153011322,0.07227152585983276,0.0735151618719101,0.09236941486597061,0.28738969564437866,0.7224740982055664,0.9168961048126221
1e-05,15,8.780703273880512,0.2862485613664398,849445.4960038363,0.022648707032203674,55.33,0.0,0.21603438258171082,0.12933692336082458,0.05881328880786896,0.9659416079521179,0.05930875986814499,0.06033508479595184,0.07846149802207947,0.2691945433616638,0.7113173604011536,0.9153218269348145
1e-05,16,8.20903348678823,0.2407916853266299,796824.2034846548,0.029356159269809723,55.42,0.0,0.2032162994146347,0.11600865423679352,0.04873976856470108,0.9664391875267029,0.04896286502480507,0.04981011152267456,0.0671178475022316,0.2530384063720703,0.700437068939209,0.9137535095214844
1e-05,17,7.718950375266697,0.20521240910072155,751373.815696931,0.026753008365631104,55.64,0.0,0.19207534193992615,0.10458385944366455,0.04047221317887306,0.9674793481826782,0.04062565043568611,0.04132649302482605,0.0577428825199604,0.23850873112678528,0.6898877620697021,0.9122176170349121
1e-05,18,7.302688466923316,0.18604541263159582,711664.3228900256,0.04480166733264923,55.69,0.0,0.1823040395975113,0.09469839930534363,0.03367599844932556,0.9679081439971924,0.03385179117321968,0.03443130850791931,0.049950696527957916,0.2254270613193512,0.6798299551010132,0.910734236240387
1e-05,19,6.934814712885395,0.1668828320510857,676793.2060421995,0.03179856762290001,55.17,0.0,0.17370285093784332,0.08612944185733795,0.028230048716068268,0.9685974717140198,0.028309529647231102,0.028791017830371857,0.04342949762940407,0.21359290182590485,0.6699860692024231,0.9093133211135864
1e-05,20,6.6103862069756785,0.15060435837644445,645978.201246803,0.03720094636082649,55.77,0.0,0.16607363522052765,0.07859543710947037,0.02367774024605751,0.9682773351669312,0.02374802529811859,0.0241489689797163,0.037928253412246704,0.202914759516716,0.6603753566741943,0.9078405499458313
1e-05,21,6.328394814220536,0.14225839812051305,618613.6574488491,0.03901161253452301,55.62,0.0,0.15930864214897156,0.0720343142747879,0.01992449164390564,0.9689507484436035,0.019974835216999054,0.020309779793024063,0.033262014389038086,0.19324049353599548,0.6514513492584229,0.906401515007019
1e-05,22,6.0590490246063,0.1178195388878093,594122.9645140665,0.06377173215150833,55.63,0.0,0.15316252410411835,0.0661826953291893,0.01677730679512024,0.9694408774375916,0.016840483993291855,0.01712094061076641,0.02926214225590229,0.1842321753501892,0.6425421237945557,0.9049543142318726
